Bill Name,Summary,Representative,Committee
H. 3002,Bond release,Rep. Collins,Referred to Committee on Invitations and Memorial Resolutions
H. 3003,SC Street Gang and Criminal Enterprise Prevention and Anti-Racketeering Act,Rep. Pope,Referred to Committee on Invitations and Memorial Resolutions
H. 3004,Involuntary Manslaughter by Blackmail,Rep. Taylor,Referred to Committee on Invitations and Memorial Resolutions
H. 3005,Penalty enhancements for hate crimes,Rep. King,Referred to Committee on Invitations and Memorial Resolutions
H. 3006,"Judicial Elections, lawyer-legislators","Reps. G. M. Smith, W. Newton and Taylor",Referred to Committee on Judiciary
H. 3007,Disorderly Conduct,"Reps. Forrest, G. M. Smith and W. Newton",Referred to Committee on Judiciary
H. 3008,"Stand Your Ground, religious services",Rep. Pope,Referred to Committee on Judiciary
H. 3009,Right to counsel by defendents,Rep. Pope,Referred to Committee on Judiciary
H. 3010,Firearms criminal background checks,Rep. Pope,Referred to Committee on Judiciary
H. 3011,Firearms criminal background checks,Rep. Pope,Referred to Committee on Education and Public Works
H. 3012,"Firearm and ammunition, unlawful possession by certain persons",Rep. Robbins,Referred to Committee on Judiciary
H. 3013,Prohibition on Assault Weapons,Rep. Robbins,Referred to Committee on Judiciary
H. 3014,Clementa C. Pinckney Hate Crimes Act,Rep. Rutherford,Referred to Committee on Judiciary
H. 3015,Luring a child,Rep. Rutherford,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3016,Offenses during state of emergency,Rep. Rutherford,Referred to Committee on Judiciary
H. 3017,"Cremation permits, coroners",Rep. Rutherford,Referred to Committee on Judiciary
H. 3018,"Sexual battery, spousal",Rep. Rutherford,Referred to Committee on Judiciary
H. 3019,Destruction of arrest records,Rep. Rutherford,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3020,Hate crimes,"Reps. Bradley, G. M. Smith and Herbkersman",Referred to Committee on Judiciary
H. 3021,Crime scene images,"Reps. M. M. Smith, Guest and Kirby","Referred to Committee on Labor, Commerce and Industry"
H. 3022,"Judicial Merit Selection Commission, membership revised","Reps. M. M. Smith, Guest and Kirby","Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3023,Homicide by Child Abuse,"Reps. M. M. Smith, Guest and Kirby",Referred to Committee on Judiciary
H. 3024,Concealed weapons by certain persons on duty,"Reps. M. M. Smith, Guest and Kirby","Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3025,Uniform Civil Remedies for Unauthorized Disclosure of Intimate Images Act,Rep. Beach,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3026,Kidnapping,"Reps. M. M. Smith, Guest and Kirby",Referred to Committee on Judiciary
H. 3027,"Victim and Witness Services, definition of criminal offense",Rep. Bailey,Referred to Committee on Judiciary
H. 3028,Crime Victim Compensation,Rep. Rutherford,Referred to Committee on Judiciary
H. 3029,Victim Assistance Services,Rep. Burns,Referred to Committee on Judiciary
H. 3030,"Most serious offenses, criminal sexual conduct with minors",Rep. Chumley,Referred to Committee on Judiciary
H. 3031,"Violent Crimes, discharging firearms into dwellings",Rep. Chumley,Referred to Committee on Judiciary
H. 3032,Bond Reform,Rep. Chumley,Referred to Committee on Judiciary
H. 3033,Assault and Battery of Certain Public Servants,Rep. Collins,Referred to Committee on Judiciary
H. 3034,911 call abuse,Rep. Garvin,Referred to Committee on Judiciary
H. 3035,Terrorism,Rep. Garvin,Referred to Committee on Judiciary
H. 3036,Unlawful Tracking,Rep. Garvin,Referred to Committee on Judiciary
H. 3037,Courtesy summons,Rep. Garvin,Referred to Committee on Judiciary
H. 3038,"Intentionally impersonating another person through email, social media or other internet websites",Rep. Gilliard,Referred to Committee on Judiciary
H. 3039,Cost-analysis sentencing reports,Rep. Gilliard,Referred to Committee on Judiciary
H. 3040,"Stand your ground, burden of proof",Rep. Gilliard,Referred to Committee on Judiciary
H. 3041,Autopsy photographs,Rep. Guffey,Referred to Committee on Judiciary
H. 3042,Immunity from prosecution,Rep. Guffey,Referred to Committee on Judiciary
H. 3043,Substantial Assistance to the State,Rep. Guffey,Referred to Committee on Judiciary
H. 3044,Bench warrants for failure to appear,Rep. T. Moore,Referred to Committee on Judiciary
H. 3045,"Controlled substances, revised forfeiture procedures",Rep. T. Moore,Referred to Committee on Judiciary
H. 3046,Tort Claims Act,Rep. Moss,Referred to Committee on Judiciary
H. 3047,Tobacco and alternative nicotine products,Reps. W. Newton and G. M. Smith,Referred to Committee on Judiciary
H. 3048,Transfer of certain criminal cases from general sessions court,Rep. W. Newton,Referred to Committee on Judiciary
H. 3049,Probate Judge Qualifications,Rep. Pope,Referred to Committee on Judiciary
H. 3050,Coroner qualifications,Rep. Pope,Referred to Committee on Judiciary
H. 3051,Unlawful Carrying of Handguns,Rep. Pope,Referred to Committee on Judiciary
H. 3052,"Nonferrous metals, catalytic converters",Rep. Pope,Referred to Committee on Judiciary
H. 3053,Torts - Apportionment of Fault,Rep. Taylor,Referred to Committee on Judiciary
H. 3054,Courts - Transfer of Certain Criminal Cases from General Sessions,Rep. Wooten,Referred to Committee on Judiciary
H. 3055,"Reporting of Information to SLED, Firearms Background Checks",Rep. Wooten,Referred to Committee on Judiciary
H. 3056,Review of Presidential Executive Orders,Rep. Wooten,Referred to Committee on Judiciary
H. 3057,"General Assembly, remote and virtual sessions",Rep. Wooten,Referred to Committee on Judiciary
H. 3058,Cyber Sexual Harassment,Rep. Rutherford,Referred to Committee on Judiciary
H. 3059,Unlawful dissemination of sexually explicit materials,Rep. Rutherford,Referred to Committee on Judiciary
H. 3060,"Department of Crime Victim Services Training, Provider Certification, and Statistical Analysis",Rep. Rutherford,Referred to Committee on Judiciary
H. 3061,Training and technical assistance on crime victim funds,Rep. Rutherford,Referred to Committee on Judiciary
H. 3062,"Crime Victim Services, victim service provider definition",Rep. Rutherford,Referred to Committee on Judiciary
H. 3063,Victim Assistance Services,Rep. Rutherford,Referred to Committee on Judiciary
H. 3064,Victim Services Coordinating Council membership,Rep. Rutherford,Referred to Committee on Judiciary
H. 3065,Pay Increase,Rep. Rutherford,Referred to Committee on Judiciary
H. 3066,Equality of rights; US Constitution,Rep. Rutherford,Referred to Committee on Judiciary
H. 3067,Special needs student school bus attendants,Rep. Rutherford,Referred to Committee on Judiciary
H. 3068,Pay,Rep. Rutherford,Referred to Committee on Judiciary
H. 3069,"SC Fairness, Accountability, and Integrity in Redistricting Act",Rep. Rutherford,Referred to Committee on Judiciary
H. 3070,Medicaid expansion,Rep. Rutherford,Referred to Committee on Judiciary
H. 3071,Roll back taxes,Rep. Rutherford,Referred to Committee on Judiciary
H. 3072,Assessment ratios,Rep. Rutherford,Referred to Committee on Judiciary
H. 3073,Retail sales,Rep. Gatch,Referred to Committee on Judiciary
H. 3074,Admissions tax exemption,Rep. Gatch,Referred to Committee on Judiciary
H. 3075,Rural Infrastructure Authority,Rep. Gatch,Referred to Committee on Judiciary
H. 3076,Rural Infrastructure Authority,Rep. Gatch,Referred to Committee on Judiciary
H. 3077,Rural Infrastructure Authority,Rep. Gatch,Referred to Committee on Judiciary
H. 3078,Rural Infrastructure Authority,Rep. Gatch,Referred to Committee on Judiciary
H. 3079,Rural Infrastructure Authority,Rep. Gatch,Referred to Committee on Judiciary
H. 3080,"Legal tender, gold and silver",Rep. Gatch,Referred to Committee on Judiciary
H. 3081,Capital gains,Rep. Gatch,Referred to Committee on Judiciary
H. 3082,Confederate Flags,Rep. Gatch,Referred to Committee on Judiciary
H. 3083,"Tax payment, methods of payment",Rep. Gatch,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3084,"Martin Luther King, Jr. Day; require schools to be closed",Reps. Gatch and Kilmartin,Referred to Committee on Judiciary
H. 3085,Property Tax Payment,Rep. Pope,Referred to Committee on Judiciary
H. 3086,Property Tax Exemption,Rep. Pope,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3087,Agency Head Salary Commission,Reps. Pope and Gilliam,Referred to Committee on Judiciary
H. 3088,General Assembly per diem,Rep. Pope,Referred to Committee on Judiciary
H. 3089,Motion picture incentives,Reps. Pope and Gilliam,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3090,Uniform Unincorporated Nonprofit Association,Rep. Pope,Referred to Committee on Judiciary
H. 3091,Solicitor funding,Rep. Oremus,Referred to Committee on Judiciary
H. 3092,"Constitution, Alcohol sales restrictions",Rep. Moss,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3093,Community charge on nonprofit hospitals and institutions of higher learning,"Reps. McCravy, Vaughan, T. Moore, Gilliam, Burns, Chumley, M. M. Smith and Willis",Referred to Committee on Judiciary
H. 3094,Nonprofits,Rep. Long,Referred to Committee on Judiciary
H. 3095,"Constitution, Gambling and gaming",Rep. Ligon,Referred to Committee on Judiciary
H. 3096,Monuments and memorials,Rep. J. L. Johnson,"Referred to Committee on Labor, Commerce and Industry"
H. 3097,Equality of rights; US Constitution,Rep. Hardee,Referred to Committee on Judiciary
H. 3098,Use tax exemptions,Rep. Guffey,Referred to Committee on Judiciary
H. 3099,Bank Reporting Requirements,Rep. Gatch,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3100,Landlord Tenant Act,Rep. Gatch,Referred to Committee on Judiciary
H. 3101,Reimbursements for Students Attending Alternative School District,Reps. King and McDaniel,Referred to Committee on Judiciary
H. 3102,Stop Social Media Censorship Act,Rep. Gatch,Referred to Committee on Invitations and Memorial Resolutions
H. 3103,SC Job Creation and Competitiveness Act of 2023,Rep. Gatch,Referred to Committee on Judiciary
H. 3104,Shooting Range Location,Rep. Gatch,Referred to Committee on Judiciary
H. 3105,Teacher Loan Forgiveness,Reps. Gatch and J. L. Johnson,Referred to Committee on Judiciary
H. 3106,Solar Tax Credit,Rep. Garvin,Referred to Committee on Judiciary
H. 3107,Educational lottery scholarship grants,Rep. Garvin,Referred to Committee on Judiciary
H. 3108,Exceptional needs children's tax credit,Rep. Garvin,"Referred to Committee on Labor, Commerce and Industry"
H. 3109,Sales Tax Exemption,Rep. Garvin,Referred to Committee on Ways and Means
H. 3110,Sales Tax Exemption Holiday,Rep. Garvin,Referred to Committee on Judiciary
H. 3111,Tobacco Sales Information,Rep. Garvin,Referred to Committee on Judiciary
H. 3112,School District Operating Expenses,Rep. Dillard,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3113,Teaching Scholarship,Rep. Collins,Referred to Committee on Judiciary
H. 3114,Statewide Millage,Rep. Cobb-Hunter,Referred to Committee on Judiciary
H. 3115,Disabled Veteran Income Tax Credit,Rep. Bustos,Referred to Committee on Ways and Means
H. 3116,Disabled Veterans Property Tax,Rep. Burns,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3117,Student Loan Forgiveness for Teachers,Rep. Burns,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
