Bill Name,Summary,Representative,Committee
H. 4533,DEFEND THE GUARD ACT,Rep. Beach,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 4534,PROVIDE FOR A FIRST RESPONDER RETIREMENT INCOME,Rep. Beach,Referred to Committee on Ways and Means
H. 4535,SAFETY IN PRIVATE SPACES ACT,Rep. Beach,Referred to Committee on Judiciary
H. 4536,JUVENILE ARTHRITIS AWARENESS MONTH,Rep. Calhoon,Referred to Committee on Education and Public Works
H. 4537,PROVIDE FOR THE SALE AND CONSUMPTION OF,Rep. B. L. Cox,Referred to Committee on Judiciary
H. 4538,SOUTH CAROLINA STUDENT PHYSICAL PRIVACY ACT,"Reps. Cromer, Trantham and Oremus",Referred to Committee on Judiciary
H. 4539,REQUIRE PUBLIC HOUSING AUTHORITIES AND AGENCIES TO,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 4540,CHILDREN'S DEFAULT TO SAFETY ACT,Rep. Guffey,Referred to Committee on Judiciary
H. 4541,CHILD DATA PRIVACY AND PROTECTION ACT,Rep. Guffey,Referred to Committee on Judiciary
H. 4542,"PROVIDE DEFINITIONS, PROVIDE THAT A COVERED PLATFORM",Rep. Guffey,Referred to Committee on Judiciary
H. 4543,"PROVIDE THAT CERTAIN COMPANIES OWNED, IN WHOLE",Rep. Haddon,"Referred to Committee on Labor, Commerce and Industry"
H. 4544,RELIGIOUS INSTITUTIONS AFFORDABLE HOUSING ACT,Rep. W. Jones,"Referred to Committee on Labor, Commerce and Industry"
H. 4545,PROVIDE THAT A FULL-TIME STATE EMPLOYEE IS,Reps. King and McDaniel,Referred to Committee on Ways and Means
H. 4546,NO OPEN-ENDED POWERS OF EMERGENCY (NOPE) ACT,"Reps. Magnuson, A. M. Morgan, May, Beach, Burns, Chumley, Cromer, S. Jones, Kilmartin, Harris, McCabe, T. A. Morgan, O'Neal, Oremus, Pace, Trantham and White",Referred to Committee on Judiciary
H. 4547,EXTEND THE PROVISIONS OF THE SOUTH CAROLINA,"Reps. B. Newton, Dillard and Hyde",Referred to Committee on Ways and Means
