Bill Name,Summary,Representative,Committee
H. 3002,William H. Nimmons Memorial Road,Rep. Collins,Referred to Committee on Invitations and Memorial Resolutions
H. 3003,Officer Matthew Logan Hare Memorial Avenue,Rep. Pope,Referred to Committee on Invitations and Memorial Resolutions
H. 3004,Jack Armour Memorial Bridge,Rep. Taylor,Referred to Committee on Invitations and Memorial Resolutions
H. 3005,Electoral college,Rep. King,Referred to Committee on Invitations and Memorial Resolutions
H. 3006,Felon voting rights,"Reps. G. M. Smith, W. Newton and Taylor",Referred to Committee on Judiciary
H. 3007,Convention of the States,"Reps. Forrest, G. M. Smith and W. Newton",Referred to Committee on Judiciary
H. 3008,Convention of the States,Rep. Pope,Referred to Committee on Judiciary
H. 3009,Alimony,Rep. Pope,Referred to Committee on Judiciary
H. 3010,Cure Act,Rep. Pope,Referred to Committee on Judiciary
H. 3011,Parental Rights in Education Act,Rep. Pope,Referred to Committee on Education and Public Works
H. 3012,Pregnancy CARE Act,Rep. Robbins,Referred to Committee on Judiciary
H. 3013,Guardians ad Litem,Rep. Robbins,Referred to Committee on Judiciary
H. 3014,Visitation,Rep. Rutherford,Referred to Committee on Judiciary
H. 3015,Tattoo Facilities,Rep. Rutherford,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3016,Child Interrogations,Rep. Rutherford,Referred to Committee on Judiciary
H. 3017,Ephedrine Products,Rep. Rutherford,Referred to Committee on Judiciary
H. 3018,"Marijuana Decriminalization, Veterans",Rep. Rutherford,Referred to Committee on Judiciary
H. 3019,Put Patients First Act,Rep. Rutherford,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3020,Status Offenses,"Reps. Bradley, G. M. Smith and Herbkersman",Referred to Committee on Judiciary
H. 3021,Small Business Regulatory Freedom Act,"Reps. M. M. Smith, Guest and Kirby","Referred to Committee on Labor, Commerce and Industry"
H. 3022,Long Term Care Council,"Reps. M. M. Smith, Guest and Kirby","Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3023,Adult Protection Coordinating Council,"Reps. M. M. Smith, Guest and Kirby",Referred to Committee on Judiciary
H. 3024,Alzheimer's Disease,"Reps. M. M. Smith, Guest and Kirby","Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3025,Geriatric Physician Loan Forgiveness Program,Rep. Beach,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3026,"Bond, circuit court for illegal aliens","Reps. M. M. Smith, Guest and Kirby",Referred to Committee on Judiciary
H. 3027,Vulnerable Adults,Rep. Bailey,Referred to Committee on Judiciary
H. 3028,Bond release,Rep. Rutherford,Referred to Committee on Judiciary
H. 3029,Alimony,Rep. Burns,Referred to Committee on Judiciary
H. 3030,Undocumented individuals,Rep. Chumley,Referred to Committee on Judiciary
H. 3031,"Stand Your Ground, religious services",Rep. Chumley,Referred to Committee on Judiciary
H. 3032,Disrupting a religious service or funeral,Rep. Chumley,Referred to Committee on Judiciary
H. 3033,"Judicial Elections, lawyer-legislators",Rep. Collins,Referred to Committee on Judiciary
H. 3034,"Fargo's, Hyco's, Rico's, Coba's, Wick's, and Mikka's Law",Rep. Garvin,Referred to Committee on Judiciary
H. 3035,Unlawful dissemination of sexually explicit materials,Rep. Garvin,Referred to Committee on Judiciary
H. 3036,Teen Dating Violence Prevention Act,Rep. Garvin,Referred to Committee on Judiciary
H. 3037,Citizens' Arrest,Rep. Garvin,Referred to Committee on Judiciary
H. 3038,Sexual Assault Survivors' Bill of Rights,Rep. Gilliard,Referred to Committee on Judiciary
H. 3039,Senator Clementa C. Pinckney Hate Crimes Act,Rep. Gilliard,Referred to Committee on Judiciary
H. 3040,Drive-by Shootings,Rep. Gilliard,Referred to Committee on Judiciary
H. 3041,Prohibition on Assault Weapons,Rep. Guffey,Referred to Committee on Judiciary
H. 3042,"Eavesdropping, Peeping, and Voyeurism",Rep. Guffey,Referred to Committee on Judiciary
H. 3043,"Sexual exploitation of minors, morphed child pornography",Rep. Guffey,Referred to Committee on Judiciary
H. 3044,"Sex Offender Registry, castration",Rep. T. Moore,Referred to Committee on Judiciary
H. 3045,Obscene visual representations of child sexual abuse,Rep. T. Moore,Referred to Committee on Judiciary
H. 3046,"Sexual Exploitation of a Minor, morphed images",Rep. Moss,Referred to Committee on Judiciary
H. 3047,"Litter, balloons",Reps. W. Newton and G. M. Smith,Referred to Committee on Judiciary
H. 3048,Coroner Qualifications,Rep. W. Newton,Referred to Committee on Judiciary
H. 3049,Uniform Civil Remedies for Unauthorized Disclosure of Intimate Images Act,Rep. Pope,Referred to Committee on Judiciary
H. 3050,"Magistrates Court, civil jurisdiction",Rep. Pope,Referred to Committee on Judiciary
H. 3051,Fitness to Stand Trial,Rep. Pope,Referred to Committee on Judiciary
H. 3052,"Assault and Battery, enhanced penalties regarding certain victims",Rep. Pope,Referred to Committee on Judiciary
H. 3053,"Violent Crimes, discharging firearms into dwellings",Rep. Taylor,Referred to Committee on Judiciary
H. 3054,"General Assembly, remote and virtual sessions",Rep. Wooten,Referred to Committee on Judiciary
H. 3055,Harassment and Stalking,Rep. Wooten,Referred to Committee on Judiciary
H. 3056,Reckless endangerment,Rep. Wooten,Referred to Committee on Judiciary
H. 3057,Unlawful dissemination of sexually explicit materials,Rep. Wooten,Referred to Committee on Judiciary
H. 3058,Disclosure of Intimate Images,Rep. Rutherford,Referred to Committee on Judiciary
H. 3059,Unlawful Tracking,Rep. Rutherford,Referred to Committee on Judiciary
H. 3060,Courtesy Summons,Rep. Rutherford,Referred to Committee on Judiciary
H. 3061,Impersonating a person by certain means,Rep. Rutherford,Referred to Committee on Judiciary
H. 3062,Cost-analysis sentencing reports,Rep. Rutherford,Referred to Committee on Judiciary
H. 3063,"Stand Your Ground, burden of proof",Rep. Rutherford,Referred to Committee on Judiciary
H. 3064,Autopsy photographs,Rep. Rutherford,Referred to Committee on Judiciary
H. 3065,Immunity from prosecution,Rep. Rutherford,Referred to Committee on Judiciary
H. 3066,Substantial Assistance to the State,Rep. Rutherford,Referred to Committee on Judiciary
H. 3067,Bench warrants for failure to appear,Rep. Rutherford,Referred to Committee on Judiciary
H. 3068,"Controlled substances, revised forfeiture procedures",Rep. Rutherford,Referred to Committee on Judiciary
H. 3069,Transfer of cases from general sessions court,Rep. Rutherford,Referred to Committee on Judiciary
H. 3070,Tort Claims Act,Rep. Rutherford,Referred to Committee on Judiciary
H. 3071,Probate Judge qualifications,Rep. Rutherford,Referred to Committee on Judiciary
H. 3072,Coroner qualifications,Rep. Rutherford,Referred to Committee on Judiciary
H. 3073,"Commission on Indigent Defense, Division of Statewide Grand Jury Defense",Rep. Gatch,Referred to Committee on Judiciary
H. 3074,Alimony,Rep. Gatch,Referred to Committee on Judiciary
H. 3075,Postnuptial Agreements,Rep. Gatch,Referred to Committee on Judiciary
H. 3076,Family Court,Rep. Gatch,Referred to Committee on Judiciary
H. 3077,Family Court,Rep. Gatch,Referred to Committee on Judiciary
H. 3078,Alimony,Rep. Gatch,Referred to Committee on Judiciary
H. 3079,Guardians ad Litem,Rep. Gatch,Referred to Committee on Judiciary
H. 3080,Guardians ad Litem,Rep. Gatch,Referred to Committee on Judiciary
H. 3081,Alimony,Rep. Gatch,Referred to Committee on Judiciary
H. 3082,Family Court,Rep. Gatch,Referred to Committee on Judiciary
H. 3083,Air Quality,Rep. Gatch,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3084,Guardians ad Litem,Reps. Gatch and Kilmartin,Referred to Committee on Judiciary
H. 3085,Child Custody,Rep. Pope,Referred to Committee on Judiciary
H. 3086,Certificate of Foreign Birth,Rep. Pope,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3087,Divorce,Reps. Pope and Gilliam,Referred to Committee on Judiciary
H. 3088,Behavioral Health Conditional Dismissal Program,Rep. Pope,Referred to Committee on Judiciary
H. 3089,Medical Billing,Reps. Pope and Gilliam,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3090,Fentanyl,Rep. Pope,Referred to Committee on Judiciary
H. 3091,Orders of Protection,Rep. Oremus,Referred to Committee on Judiciary
H. 3092,Chemically Induced Abortions,Rep. Moss,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3093,Assault and battery on heathcare workers,"Reps. McCravy, Vaughan, T. Moore, Gilliam, Burns, Chumley, M. M. Smith and Willis",Referred to Committee on Judiciary
H. 3094,Child Welfare,Rep. Long,Referred to Committee on Judiciary
H. 3095,Birth Certificates,Rep. Ligon,Referred to Committee on Judiciary
H. 3096,Gene Therapy,Rep. J. L. Johnson,"Referred to Committee on Labor, Commerce and Industry"
H. 3097,Adoption,Rep. Hardee,Referred to Committee on Judiciary
H. 3098,Alimony,Rep. Guffey,Referred to Committee on Judiciary
H. 3099,Tattoo Facilities,Rep. Gatch,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3100,Guardians ad Litem,Rep. Gatch,Referred to Committee on Judiciary
H. 3101,Guardians ad Litem,Reps. King and McDaniel,Referred to Committee on Judiciary
H. 3102,Term limits for U.S. Supreme Court,Rep. Gatch,Referred to Committee on Invitations and Memorial Resolutions
H. 3103,Guardians ad Litem,Rep. Gatch,Referred to Committee on Judiciary
H. 3104,Alimony,Rep. Gatch,Referred to Committee on Judiciary
H. 3105,Divorce,Reps. Gatch and J. L. Johnson,Referred to Committee on Judiciary
H. 3106,Child Support,Rep. Garvin,Referred to Committee on Judiciary
H. 3107,Human Embryos,Rep. Garvin,Referred to Committee on Judiciary
H. 3108,Doulas,Rep. Garvin,"Referred to Committee on Labor, Commerce and Industry"
H. 3109,Medicaid Expansion,Rep. Garvin,Referred to Committee on Ways and Means
H. 3110,Marijuana,Rep. Garvin,Referred to Committee on Judiciary
H. 3111,Foster Care,Rep. Garvin,Referred to Committee on Judiciary
H. 3112,Maternal Mortality Study Committee,Rep. Dillard,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3113,Safe Havens,Rep. Collins,Referred to Committee on Judiciary
H. 3114,Divorce,Rep. Cobb-Hunter,Referred to Committee on Judiciary
H. 3115,Birth Certificates,Rep. Bustos,Referred to Committee on Ways and Means
H. 3116,Perfluoroalkyl and Polyfluoroalkyl Substances,Rep. Burns,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3117,Prescriptions,Rep. Burns,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3118,Parental Bill of Rights,Rep. Burns,Referred to Committee on Judiciary
H. 3119,Blood and Organ Donation,Rep. Beach,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3120,Hospitals,Rep. Beach,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3121,Live and Let Live Act,Rep. Bailey,Referred to Committee on Judiciary
H. 3122,Beach Vehicle Operation Restriction Act,Rep. Bailey,Referred to Committee on Judiciary
H. 3123,"Attorney Fees, DSS Actions",Reps. Pope and Gilliam,Referred to Committee on Judiciary
H. 3124,Fentanyl,Rep. Pace,Referred to Committee on Judiciary
H. 3125,Elimination of individual income tax,Rep. Pope,Referred to Committee on Ways and Means
