Bill Name,Summary,Representative,Committee,Preamble,Word Link
H. 3002,William H. Nimmons Memorial Road,Rep. Bamberg,Invitations and Memorial Resolutions,"A CONCURRENT RESOLUTION TO REQUEST THE DEPARTMENT OF TRANSPORTATION NAME THE PORTION OF GOVAN ROAD IN BAMBERG COUNTY FROM ITS INTERSECTION WITH VOORHEES ROAD TO ITS INTERSECTION WITH UNITED STATES HIGHWAY 321 ""WILLIAM H. NIMMONS, SR. ROAD"" AND ERECT APPROPRIATE SIGNS OR MARKERS AT THIS LOCATION CONTAINING THESE WORDS.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3002.docx
H. 3003,Officer Matthew Logan Hare Memorial Avenue,Rep. Collins,Invitations and Memorial Resolutions,"A CONCURRENT RESOLUTION TO REQUEST THE DEPARTMENT OF TRANSPORTATION NAME THE PORTION OF MAIN STREET IN THE TOWN OF EASLEY IN PICKENS COUNTY FROM WILBUR STREET TO NORTH PENDLETON STREET ""OFFICER MATTHEW LOGAN HARE MEMORIAL AVENUE.""",https://www.scstatehouse.gov/sess126_2025-2026/bills/3003.docx
H. 3004,Jack Armour Memorial Bridge,Rep. Pope,Invitations and Memorial Resolutions,"A CONCURRENT RESOLUTION TO REQUEST THE DEPARTMENT OF TRANSPORTATION NAME THE BRIDGE THAT CROSSES TAYLOR CREEK ALONG SOUTH CAROLINA HIGHWAY 901 IN YORK COUNTY ""JACK ARMOUR MEMORIAL BRIDGE"" AND ERECT APPROPRIATE MARKERS OR SIGNS AT THIS LOCATION CONTAINING THESE WORDS.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3004.docx
H. 3005,Electoral college,Rep. Taylor,Invitations and Memorial Resolutions,"A CONCURRENT RESOLUTION TO EXPRESS THE GENERAL ASSEMBLY'S UNWAVERING SUPPORT FOR THE ELECTORAL COLLEGE, AND TO URGE THE GOVERNOR AND ATTORNEY GENERAL OF SOUTH CAROLINA TO LITIGATE AGGRESSIVELY AGAINST ANY EFFORT TO REPEAL OR NULLIFY IT, INCLUDING THE IMPLEMENTATION OF THE NATIONAL POPULAR VOTE INTERSTATE COMPACT.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3005.docx
H. 3006,Felon voting rights,Rep. King,Judiciary,A CONCURRENT RESOLUTION TO ACKNOWLEDGE THE GENERAL ASSEMBLY'S BELIEF THAT A FELONY CONVICTION SHOULD NO LONGER DISQUALIFY A PERSON FROM BEING REGISTERED OR VOTING WHO IS NO LONGER INCARCERATED.,https://www.scstatehouse.gov/sess126_2025-2026/bills/3006.docx
H. 3007,Convention of the States,,Judiciary,"A CONCURRENT RESOLUTION TO MAKE APPLICATION BY THE STATE OF SOUTH CAROLINA UNDER ARTICLE V OF THE UNITED STATES CONSTITUTION FOR A CONVENTION OF THE STATES TO BE CALLED, RESTRICTED TO PROPOSING AN AMENDMENT TO THE UNITED STATES CONSTITUTION TO IMPOSE FISCAL RESTRAINTS ON THE FEDERAL GOVERNMENT THROUGH A BALANCED BUDGET AMENDMENT.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3007.docx
H. 3008,Convention of the States,,Judiciary,A CONCURRENT RESOLUTION TO APPLY FOR A CONVENTION UNDER ARTICLE V OF THE UNITED STATES CONSTITUTION IN ORDER TO PROPOSE A CONGRESSIONAL TERM LIMITS AMENDMENT.,https://www.scstatehouse.gov/sess126_2025-2026/bills/3008.docx
H. 3009,Alimony,Rep. Pope,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 20-3-165 SO AS TO AUTHORIZE THE DEPARTMENT OF SOCIAL SERVICES' DIVISION OF CHILD SUPPORT ENFORCEMENT TO ENFORCE CERTAIN ALIMONY OBLIGATIONS; BY AMENDING SECTION 20-3-130, RELATING TO AWARD OF ALIMONY, SO AS TO MAKE CONFORMING CHANGES; BY AMENDING SECTIONS 63-17-710, 63-17-720, 63-17-730, 63-17-750, 63-17-760, 63-17-850, 63-17-1010, 63-17-1020, 63-17-1050, 63-17-1210, 63-17-1410, 63-17-1510, 63-17-1810, 63-17-1890, 63-17-1910, 63-17-2310, 63-17-2320, 63-17-2330, AND ARTICLE 21 OF CHAPTER 17, TITLE 63, ALL RELATING IN PART TO CHILD SUPPORT ENFORCEMENT, SO AS TO MAKE CONFORMING CHANGES; BY AMENDING SECTIONS 20-1-350, 27-23-10, 41-35-140, 44-63-60, 44-63-80, 44-63-84, 44-63-86, AND 44-63-110, RELATING TO MARRIAGE LICENSES, FRAUDULENT CONVEYANCES, UNEMPLOYMENT COMPENSATION, AND VITAL RECORDS, ALL SO AS TO MAKE CONFORMING CHANGES; BY ALLOWING RETROACTIVE APPLICATION OF THE ACT; AND FOR OTHER PURPOSES.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3009.docx
H. 3010,Cure Act,Rep. Pope,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ENACTING THE ""CURE ACT"" BY ADDING CHAPTER 140 TO TITLE 44 SO AS TO PROVIDE FOR THE ENTRY OF SOUTH CAROLINA INTO A MULTISTATE COMPACT GOVERNED BY A COMMISSION THAT FACILITATES A PROCESS BY WHICH SUBSTANTIAL CASH PRIZES ARE AWARDED FOR THE CURE OF CERTAIN DISEASES; TO ESTABLISH POWERS AND DUTIES OF THE COMMISSION, INCLUDING THE DUTY TO EXPEDITIOUSLY REVIEW SUBMITTED TREATMENTS AND THERAPEUTIC PROTOCOLS FOR THE CURE OF DISEASE AND TO AWARD PRIZES FOR SUBMISSIONS THAT MEET THE COMMISSION'S STANDARDS; TO ESTABLISH COMMISSION MEETING AND VOTING REQUIREMENTS; TO REQUIRE THE COMMISSION TO ADOPT RULES; AND FOR OTHER PURPOSES.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3010.docx
H. 3011,Parental Rights in Education Act,Rep. Pope,Education and Public Works,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ENACTING THE ""PARENTAL RIGHTS IN EDUCATION ACT""; BY ADDING ARTICLE 3 TO CHAPTER 28, TITLE 59 SO AS TO PROVIDE NECESSARY DEFINITIONS, TO RECOGNIZE THAT PARENTS HAVE THE ULTIMATE RESPONSIBILITY TO DIRECT THE UPBRINGING, EDUCATION, HEALTHCARE, AND MENTAL HEALTH OF THEIR CHILDREN, TO PROHIBIT THE STATE FROM SUBSTANTIALLY BURDENING THOSE PARENTAL RIGHTS AND TO REQUIRE THE STATE TO OBTAIN PARENTAL CONSENT IN CERTAIN CIRCUMSTANCES, AND TO CREATE A CAUSE OF ACTION FOR VIOLATION OF THE CHAPTER, AMONG OTHER THINGS; AND TO DESIGNATE THE EXISTING PROVISIONS OF CHAPTER 28, TITLE 59, AS ARTICLE 1 ENTITLED ""GENERAL PROVISIONS.""",https://www.scstatehouse.gov/sess126_2025-2026/bills/3011.docx
